pair_id,left_g3_entity_id,right_g3_entity_id,seed_mask_code,cohort,left_top1_g1,right_top1_g1,left_top1_cov,right_top1_cov,left_top1_dk,right_top1_dk,consistency_status
INS_6_4,NGIQ-BR-00000175,NGIQ-BR-00000176,INS,SINGLE_SEED_CONTROL,Insula,Insula,0.948582,0.922697,insula,insula,SAME_TOP1_TARGET
INS_6_5,NGIQ-BR-00000177,NGIQ-BR-00000178,INS,SINGLE_SEED_CONTROL,Insula,Insula,1.0,0.957869,insula,insula,SAME_TOP1_TARGET
INS_6_6,NGIQ-BR-00000179,NGIQ-BR-00000180,INS,SINGLE_SEED_CONTROL,Insula,Insula,0.735672,0.939262,insula,insula,ASYMMETRIC_COVERAGE
CG_7_1,NGIQ-BR-00000181,NGIQ-BR-00000182,CG,COMPOSITE_SEED_PENDING,Isthmus Of Cingulate Gyrus,Isthmus Of Cingulate Gyrus,0.608768,0.616038,isthmuscingulate,isthmuscingulate,SAME_TOP1_TARGET
CG_7_2,NGIQ-BR-00000183,NGIQ-BR-00000184,CG,COMPOSITE_SEED_PENDING,Caudal Anterior Cingulate Cortex,Caudal Anterior Cingulate Cortex,0.57441,0.474679,caudalanteriorcingulate,caudalanteriorcingulate,SAME_TOP1_TARGET
CG_7_3,NGIQ-BR-00000185,NGIQ-BR-00000186,CG,COMPOSITE_SEED_PENDING,Superior Frontal Gyrus,Caudal Anterior Cingulate Cortex,0.402509,0.805991,superiorfrontal,caudalanteriorcingulate,DIFFERENT_TOP1_TARGET
CG_7_4,NGIQ-BR-00000187,NGIQ-BR-00000188,CG,COMPOSITE_SEED_PENDING,Isthmus Of Cingulate Gyrus,Isthmus Of Cingulate Gyrus,0.861462,0.892114,isthmuscingulate,isthmuscingulate,SAME_TOP1_TARGET
CG_7_5,NGIQ-BR-00000189,NGIQ-BR-00000190,CG,COMPOSITE_SEED_PENDING,Caudal Anterior Cingulate Cortex,Caudal Anterior Cingulate Cortex,0.454209,0.489766,caudalanteriorcingulate,caudalanteriorcingulate,SAME_TOP1_TARGET
CG_7_6,NGIQ-BR-00000191,NGIQ-BR-00000192,CG,COMPOSITE_SEED_PENDING,Posterior Cingulate Cortex,Posterior Cingulate Cortex,0.702128,0.890982,posteriorcingulate,posteriorcingulate,ASYMMETRIC_COVERAGE
CG_7_7,NGIQ-BR-00000193,NGIQ-BR-00000194,CG,COMPOSITE_SEED_PENDING,Rostral Anterior Cingulate Cortex,Rostral Anterior Cingulate Cortex,0.936685,0.900935,rostralanteriorcingulate,rostralanteriorcingulate,SAME_TOP1_TARGET
MVOcC_5_1,NGIQ-BR-00000015,NGIQ-BR-00000016,MVOcC,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Lingual Gyrus,Lingual Gyrus,0.981308,0.790174,lingual,lingual,ASYMMETRIC_COVERAGE
MVOcC_5_2,NGIQ-BR-00000195,NGIQ-BR-00000196,MVOcC,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Pericalcarine Cortex,Pericalcarine Cortex,0.415708,0.44259,pericalcarine,pericalcarine,SAME_TOP1_TARGET
MVOcC_5_3,NGIQ-BR-00000197,NGIQ-BR-00000198,MVOcC,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Pericalcarine Cortex,Cuneus,0.477893,0.560852,pericalcarine,cuneus,DIFFERENT_TOP1_TARGET
MVOcC_5_4,NGIQ-BR-00000199,NGIQ-BR-00000200,MVOcC,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Lingual Gyrus,Lingual Gyrus,0.979464,0.923177,lingual,lingual,SAME_TOP1_TARGET
MVOcC_5_5,NGIQ-BR-00000201,NGIQ-BR-00000202,MVOcC,COMPOSITE_SEED_PENDING,Lingual Gyrus,Lingual Gyrus,0.379668,0.47494,lingual,lingual,SAME_TOP1_TARGET
LOcC_4_1,NGIQ-BR-00000203,NGIQ-BR-00000204,LOcC,SINGLE_SEED_CONTROL,Lateral Occipital Cortex,Lateral Occipital Cortex,0.907963,0.951511,lateraloccipital,lateraloccipital,SAME_TOP1_TARGET
LOcC_4_2,NGIQ-BR-00000205,NGIQ-BR-00000206,LOcC,SINGLE_SEED_CONTROL,Lateral Occipital Cortex,Lateral Occipital Cortex,0.770183,0.820695,lateraloccipital,lateraloccipital,SAME_TOP1_TARGET
LOcC_4_3,NGIQ-BR-00000207,NGIQ-BR-00000208,LOcC,SINGLE_SEED_CONTROL,Lateral Occipital Cortex,Lateral Occipital Cortex,0.964827,0.921053,lateraloccipital,lateraloccipital,SAME_TOP1_TARGET
LOcC_4_4,NGIQ-BR-00000209,NGIQ-BR-00000210,LOcC,SINGLE_SEED_CONTROL,Lateral Occipital Cortex,Lateral Occipital Cortex,0.945525,0.979138,lateraloccipital,lateraloccipital,SAME_TOP1_TARGET
LOcC_2_1,NGIQ-BR-00000211,NGIQ-BR-00000212,LOcC,SINGLE_SEED_CONTROL,Superior Parietal Lobule,Superior Parietal Lobule,0.844081,0.831426,superiorparietal,superiorparietal,SAME_TOP1_TARGET
LOcC_2_2,NGIQ-BR-00000213,NGIQ-BR-00000214,LOcC,SINGLE_SEED_CONTROL,Superior Parietal Lobule,Superior Parietal Lobule,0.991187,0.943599,superiorparietal,superiorparietal,SAME_TOP1_TARGET
