canonical_g4_id,canonical_g4_name,hemisphere,relation,target_g3_id,source_reason,future_rollup_eligible,policy_version
NGIQ-BR-00000447,Area 6r1 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000078,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000447,Area 6r1 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000056,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000448,Area 6r1 (PreCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000079,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000448,Area 6r1 (PreCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000055,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000448,Area 6r1 (PreCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000077,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000449,Area 6v1 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000072,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000449,Area 6v1 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000044,OWNER_CONFIRMED_PARTIAL_SET_CONCORDANT,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000450,Area 6v1 (PreCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000043,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000450,Area 6v1 (PreCG) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000071,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000451,Area 6d2 (PreCG) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000026,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000453,Area 6d1 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000072,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000453,Area 6d1 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000028,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000453,Area 6d1 (PreCG) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000076,FINAL_MULTI_TARGET_PARTIAL_GATE_PASS,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000455,"Area 6ma (preSMA, mesial SFG) right",right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000002,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000456,"Area 6ma (preSMA, mesial SFG) left",left,PARTIAL_OVERLAP,NGIQ-BR-00000001,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000456,"Area 6ma (preSMA, mesial SFG) left",left,PARTIAL_OVERLAP,NGIQ-BR-00000027,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000457,Area Fp1 (FPole) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000046,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000457,Area Fp1 (FPole) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000064,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000458,Area Fp1 (FPole) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000045,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000458,Area Fp1 (FPole) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000031,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
